Rank,School Name,Annual ROI,Total 4 Year Cost,Graduation Rate,Typical Years to Graduate,Average Loan Amount
90,Colorado School of Mines(Out-of-State),8.7,188000,76,5,33400
90,Georgia Institute of Technology(Out-of-State),8.7,174000,82,5,31700
90,Midwestern State University (MSU)(In-State),8.7,72700,45,5,24300
90,The Citadel - Military College of South Carolina(In-State),8.7,104000,69,4,38800
90,University of Louisiana - Monroe Campus(In-State),8.7,71000,41,5,19500
90,University of Texas of the Permian Basin (UTPB)(In-State),8.7,67600,34,5,16600
97,California State University - Northridge (CSUN)(In-State),8.6,89900,47,5,19800
97,California State University - Sacramento (CSUS)(In-State),8.6,94600,44,5,21200
97,Texas Woman's University(In-State),8.6,73600,44,5,20800
97,"University at Albany, State University of New York (SUNY)(In-State)",8.6,91100,66,4,27400
97,University of Connecticut (UConn) - Main Campus(In-State),8.6,111000,81,4,29000
97,University of Minnesota - Twin Cities(In-State),8.6,102000,78,4,28300
97,University of Oklahoma(In-State),8.6,95800,67,5,30200
97,University of Wisconsin (UW) - Madison(In-State),8.6,96800,84,4,29600
105,Arizona State University (ASU)(In-State),8.5,97200,63,4,25200
105,California State University - Stanislaus(In-State),8.5,83600,53,5,20800
105,Hunter College(In-State),8.5,81900,52,5,19800
105,San Francisco State University (SFSU)(In-State),8.5,98100,50,5,22400
105,The College of William and Mary(In-State),8.5,119000,90,4,27400
105,University of Arizona(In-State),8.5,101000,60,4,25100
105,University of Wisconsin (UW) - Stout Campus(In-State),8.5,75500,53,5,28500
105,Webb Institute(Private),8.5,209000,91,4,25200
113,Indiana University (IU) - Bloomington(In-State),8.4,95900,78,4,31000
113,Massachusetts Institute of Technology (MIT)(Private),8.4,240000,91,4,32200
113,Michigan State University (MSU)(In-State),8.4,100000,79,4,28200
113,Minnesota State University - Mankato Campus(In-State),8.4,73400,50,5,31500
113,Oregon State University (OSU) - Main Campus(In-State),8.4,97800,63,5,26200
113,St. Cloud State University(In-State),8.4,76400,45,5,29300
113,Tennessee Technological University (TTU)(In-State),8.4,93000,49,5,18900
113,University of California - Irvine (UCI)(In-State),8.4,124000,86,4,21300
113,University of California - Los Angeles (UCLA)(In-State),8.4,131000,91,4,25000
113,University of Kansas(In-State),8.4,91800,60,5,27300
113,University of North Dakota(In-State),8.4,83300,55,5,36300
113,University of Wisconsin (UW) - Platteville Campus(Out-of-State),8.4,102000,52,5,27300
125,Brigham Young University (BYU) - Hawaii Campus(Private),8.3,63600,55,5,18100
125,Clemson University(In-State),8.3,114000,82,4,30500
125,Kansas State University (KSU)(In-State),8.3,86500,59,5,25500
125,McNeese State University(In-State),8.3,73100,41,5,19700
125,Oklahoma State University (OSU) - Main Campus(In-State),8.3,87500,61,5,23800
125,SUNY - College at Old Westbury(In-State),8.3,83200,37,5,22700
125,University at Buffalo (UB)(In-State),8.3,96300,72,4,34100
125,University of Mary Washington(In-State),8.3,97400,73,4,28600
125,University of Massachusetts (UMass) - Amherst Campus(In-State),8.3,107000,75,4,29200
125,University of Missouri - Columbia(In-State),8.3,93100,69,4,29200
135,California State University - Fullerton (CSUF)(In-State),8.2,97300,56,5,21800
135,Central Connecticut State University(In-State),8.2,94500,52,5,28300
135,"Miami University - Oxford, OH(In-State)",8.2,119000,79,4,30800
135,Midwestern State University (MSU)(Out-of-State),8.2,80500,45,5,24300
135,"Oakland University - Rochester Hills, MI(In-State)",8.2,88900,46,5,22100
135,Rutgers University - Newark Campus(In-State),8.2,120000,66,5,25700
135,San Diego State University (SDSU) - Main Campus(In-State),8.2,103000,66,5,23900
135,Texas A&M University - Kingsville Campus(In-State),8.2,84400,35,5,24700
135,"Touro College - New York, NY(Private)",8.2,120000,41,4,28000
135,University of Arkansas - Main Campus(In-State),8.2,90300,62,5,27800
135,University of Georgia (UGA)(In-State),8.2,91100,85,4,24700
135,University of Nebraska - Lincoln(In-State),8.2,90100,67,5,24000
147,Bowie State University (BSU)(In-State),8.1,81800,33,5,26400
147,California State University - San Bernardino (CSUSB)(In-State),8.1,81600,48,5,19000
147,Colorado State University (CSU)(In-State),8.1,92900,65,5,26500
147,Dakota State University(In-State),8.1,73200,41,5,27900
147,Idaho State University (ISU)(In-State),8.1,82800,33,5,24000
147,SUNY - Binghamton University(Out-of-State),8.1,137000,81,4,27800
147,SUNY - Institute of Technology (SUNYIT)(In-State),8.1,91900,43,5,26300
147,Texas A&M University - Corpus Christi Campus(In-State),8.1,80900,38,5,27600
147,University of Nevada - Reno (UNR)(In-State),8.1,90800,55,5,34800
147,University of New Orleans (UNO)(In-State),8.1,81600,34,5,19900
147,University of Texas at El Paso (UTEP)(In-State),8.1,84500,38,5,17700
147,University of Wisconsin (UWW) - Whitewater(In-State),8.1,69000,58,5,27700
147,Washington Adventist University(Private),8.1,127000,40,5,30400
160,Central Washington University (CWU)(In-State),8,90700,53,5,24200
160,Grove City College(Private),8,101000,83,4,42500
160,Harvey Mudd College(Private),8,260000,90,4,24400
160,Old Dominion University(In-State),8,91000,52,5,29000
160,Park University(Private),8,94500,42,6,21800
160,San Jose State University (SJSU)(Out-of-State),8,144000,52,5,21900
160,Texas State University - San Marcos Campus(In-State),8,81800,55,5,24400
160,University of Cincinnati (UC)(In-State),8,110000,60,5,27200
160,University of Colorado - Boulder (CU)(In-State),8,118000,70,4,34900
160,University of Nevada - Las Vegas (UNLV)(In-State),8,88500,39,5,21500
160,University of New Mexico (UNM)(In-State),8,80100,48,5,22900
160,University of South Florida - Main Campus(In-State),8,83200,67,5,30000
160,Weber State University(Out-of-State),8,108000,35,5,19000
160,Western Connecticut State University(In-State),8,95000,43,5,57700
160,Western Washington University(In-State),8,91300,72,5,23000
160,Wichita State University(In-State),8,77400,44,5,22300
176,"Baker College - Flint, MI(Private)",7.9,80800,9,5,20500
176,CUNY - Queens College(In-State),7.9,103000,57,5,19500
176,California Institute of Technology (Caltech)(Private),7.9,240000,92,4,19000
176,Ferris State University(In-State),7.9,88700,43,5,29000
176,Kettering University(Private),7.9,208000,57,5,41700
176,Purdue University - Calumet Campus(In-State),7.9,85000,31,5,22800
176,Sonoma State University(In-State),7.9,95900,55,5,23400
176,Southeastern Oklahoma State University(In-State),7.9,61700,29,5,14600
176,The College of New Jersey (TCNJ)(In-State),7.9,123000,87,4,39100
176,University of California - Davis (UC Davis)(In-State),7.9,133000,83,5,22700
176,University of California - Santa Barbara (UCSB)(In-State),7.9,136000,81,4,24800
