Name,State,Prog Length,School Type,2013_DRate,2012_DRate,2011DRate
ADVANCED WELDING INSTITUTE,VT,3,3,17.1,23.8,28.2
ABDILL CAREER COLLEGE,OR,3,3,17.1,20.7,19.6
COLLEGE OF THE ALBEMARLE,NC,5,1,17.1,31.2,0
GLENWOOD BEAUTY ACADEMY,CO,3,3,17.1,24.2,18.1
CHARLOTTE CHRISTIAN COLLEGE AND THEOLOGICAL SEMINARY,NC,8,2,17.1,20.4,17.9
OAKLAND COMMUNITY COLLEGE,MI,5,1,17,17.3,17
TULSA COMMUNITY COLLEGE,OK,5,1,17,19.4,26.1
SOUTH CAROLINA STATE UNIVERSITY,SC,8,1,17,19.3,22.6
DEL MAR COLLEGE,TX,5,1,17,16.9,19.7
FORTIS COLLEGE,OH,6,3,17,12.6,11.1
SOUTHWEST WISCONSIN TECHNICAL COLLEGE,WI,5,1,17,12.6,13.4
MID-PLAINS COMMUNITY COLLEGE,NE,5,1,17,18.6,12.1
ORLEANS TECHNICAL COLLEGE,PA,5,2,17,17.9,21.8
ITI TECHNICAL COLLEGE,LA,5,3,17,14.1,15.8
SOUTHWESTERN CHRISTIAN UNIVERSITY,OK,8,2,17,20.2,13.2
COLLEGE OF THE SEQUOIAS,CA,5,1,17,17.9,19.5
SELMA UNIVERSITY,AL,8,2,17,14.2,15.5
ARIZONA CULINARY INSTITUTE,AZ,3,3,17,18.1,12.8
HIWASSEE COLLEGE,TN,6,2,17,21.3,37.9
INDIANA COUNTY TECHNOLOGY CENTER,PA,3,1,17,10.7,14
JZ TREND ACADEMY PAUL MITCHELL PARTNER SCHOOL,ND,4,3,17,9,6.8
TILLAMOOK BAY COMMUNITY COLLEGE,OR,5,1,16.9,18,16.5
MILLER - MOTTE TECHNICAL COLLEGE,TN,6,3,16.9,18.5,20.9
CALHOUN COMMUNITY COLLEGE,AL,5,1,16.9,18.3,23.4
GENESEE COMMUNITY COLLEGE,NY,5,1,16.9,14.8,15.9
ALL-STATE CAREER SCHOOL,PA,5,3,16.9,16.5,18
ANCILLA DOMINI COLLEGE,IN,5,2,16.9,19.4,22.1
FEATHER RIVER COLLEGE,CA,6,1,16.9,21.9,21.1
TRIANGLE TECH,PA,5,3,16.9,10.8,15.2
OGLE SCHOOL HAIR SKIN NAILS,TX,3,3,16.9,23.2,26.5
GREATER ALTOONA CAREER & TECHNOLOGY CENTER,PA,3,1,16.9,15.6,13.6
PENSACOLA SCHOOL OF MASSAGE THERAPY & HEALTH CAREERS,FL,3,3,16.9,27.3,30.5
PAUL MITCHELL THE SCHOOL BOISE,ID,4,3,16.9,24.1,17.7
VALLEY COLLEGE,WV,5,3,16.9,16.6,19.4
ROMAN ACADEMY OF BEAUTY CULTURE,NJ,3,3,16.9,14.2,14.5
WOODWARD BEAUTY COLLEGE,OK,3,3,16.9,23.6,11.9
ROSE STATE COLLEGE,OK,5,1,16.8,16.8,21
CAMERON UNIVERSITY,OK,8,1,16.8,17.8,19.3
SPOKANE FALLS COMMUNITY COLLEGE,WA,6,1,16.8,20.1,24.6
WHARTON COUNTY JUNIOR COLLEGE,TX,5,1,16.8,17.4,13.4
JAMESTOWN COMMUNITY COLLEGE,NY,5,1,16.8,16.8,19
LINCOLN UNIVERSITY,PA,8,1,16.8,19.6,23.3
PENSACOLA STATE COLLEGE,FL,6,1,16.8,15.9,15.5
FORTIS COLLEGE,FL,5,3,16.8,15.6,14.7
GLENVILLE STATE COLLEGE,WV,6,1,16.8,23,21.7
NORTHWEST COLLEGE,WY,5,1,16.8,18.9,13.6
RIO HONDO COMMUNITY COLLEGE,CA,6,1,16.8,17.9,12.3
GARY MANUEL AVEDA INSTITUTE,WA,3,3,16.8,11.7,11.8
NORTH ADRIAN'S COLLEGE OF BEAUTY,CA,3,3,16.8,19.6,23.1
JOSEF'S SCHOOL OF HAIR DESIGN,ND,3,3,16.8,14.4,7.7
COLLEGE OF SAN MATEO,CA,5,1,16.8,10.1,11.5
YOUNGSTOWN STATE UNIVERSITY,OH,8,1,16.7,19.3,20.3
METROPOLITAN COMMUNITY COLLEGE,NE,5,1,16.7,18.1,18
ALABAMA STATE UNIVERSITY,AL,8,1,16.7,15.6,19.1
MISSOURI WESTERN STATE UNIVERSITY,MO,8,1,16.7,15.7,16.5
JAMES A. RHODES STATE COLLEGE,OH,5,1,16.7,16.4,20.1
STRATFORD UNIVERSITY,VA,8,3,16.7,11.6,13.8
ATLANTA METROPOLITAN  STATE COLLEGE,GA,6,1,16.7,18.3,18.9
MERCER COUNTY COMMUNITY COLLEGE,NJ,5,1,16.7,15,21.7
BRIGHTWOOD COLLEGE,NV,5,3,16.7,16.5,18.9
NORTHEASTERN JUNIOR COLLEGE,CO,5,1,16.7,19,25.5
KENNEBEC VALLEY COMMUNITY COLLEGE,ME,5,1,16.7,15.1,21.4
EMPIRE COLLEGE,CA,8,3,16.7,16.4,16.4
MIAMI VALLEY CAREER TECHNOLOGY CENTER,OH,3,1,16.7,10.7,22.3
CORTIVA INSTITUTE - FLORIDA,FL,2,3,16.7,12.5,12.4
ART INSTITUTE OF ATLANTA (THE),GA,6,3,16.6,15.3,22.3
FORT VALLEY STATE UNIVERSITY,GA,8,1,16.6,20.2,24.2
PARADISE VALLEY COMMUNITY COLLEGE,AZ,5,1,16.6,18.1,20.2
GREEN RIVER COLLEGE,WA,6,1,16.6,17.3,22.2
BRIGHTWOOD COLLEGE,CA,5,3,16.6,20.3,23.2
SOUTH COLLEGE,TN,8,3,16.6,18.9,18.5
BELLINGHAM TECHNICAL COLLEGE,WA,5,1,16.6,16.9,24.3
ROCK VALLEY COLLEGE,IL,5,1,16.6,18.5,19.7
FERRUM COLLEGE,VA,6,2,16.6,10.9,12.8
OZARKA COLLEGE,AR,5,1,16.6,19.2,23.1
PRAIRIE STATE COLLEGE,IL,5,1,16.6,11.8,15.6
UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,AR,5,1,16.6,24.4,26.9
IBMC COLLEGE,CO,5,3,16.6,20.1,28.6
BREWTON PARKER COLLEGE,GA,6,2,16.6,14,12.7
SPOON RIVER COLLEGE,IL,5,1,16.6,20.2,18.2
AVEDA INSTITUTE-CORPUS CHRISTI,TX,3,3,16.6,17.5,17.5
NATIONAL ACADEMY OF BEAUTY ARTS,MO,3,3,16.6,23.5,19.3
EMPIRE BEAUTY SCHOOL,NH,3,3,16.6,27.8,30.4
WADE COLLEGE,TX,6,3,16.6,14,10.4
MIRACOSTA COLLEGE,CA,6,1,16.6,9.4,11.2
SOUTH FLORIDA STATE COLLEGE,FL,6,1,16.6,20,16.3
STEVEN PAPAGEORGE HAIR ACADEMY,IL,3,3,16.6,19.1,16.2
GREAT LAKES CHRISTIAN COLLEGE,MI,6,2,16.6,21.6,13.5
NATIONAL BEAUTY COLLEGE,OH,3,3,16.6,15.2,23.3
DIGRIGOLI SCHOOL OF COSMETOLOGY,MA,3,3,16.6,26.6,29.4
PROFILE INSTITUTE OF BARBER-STYLING,GA,3,3,16.6,42.2,34.3
CAROLINA SCHOOL OF BROADCASTING,NC,2,3,16.6,21,33.3
TRI-STATE BIBLE COLLEGE,OH,8,2,16.6,29.1,23
LA TROBE UNIVERSITY,FC,8,5,16.6,15.2,9.7
NATIONAL CONSERVATORY OF DRAMATIC ARTS,DC,4,2,16.6,28.1,29.4
MODERN BEAUTY ACADEMY - OXNARD,CA,3,3,16.6,12.8,12.5
ORION INSTITUTE,OH,3,3,16.6,17,3.2
HILLSBOROUGH COMMUNITY COLLEGE,FL,5,1,16.5,15.3,14.5
PORTER AND CHESTER INSTITUTE,CT,3,3,16.5,17.5,21.7
ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,8,1,16.5,17.2,16.3
SOUTHERN ARKANSAS UNIVERSITY,AR,8,1,16.5,18,18.1
CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,3,3,16.5,14.8,17
MOTLOW STATE COMMUNITY COLLEGE,TN,5,1,16.5,18.5,22.7
LOS ANGELES VALLEY COLLEGE,CA,5,1,16.5,15.3,18.8
PC AGE,NJ,3,3,16.5,3.8,7.5
KD CONSERVATORY COLLEGE OF FILM AND DRAMATIC ARTS,TX,5,3,16.5,17.6,23.6
CAMDEN COUNTY COLLEGE,NJ,5,1,16.4,14.5,15
NORTHWEST MISSISSIPPI COMMUNITY COLLEGE,MS,5,1,16.4,20.8,19.6
DALTON STATE COLLEGE,GA,6,1,16.4,20.2,20.3
NORTHEAST COMMUNITY COLLEGE,NE,5,1,16.4,11.3,11.2
BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS,OH,3,1,16.4,12.8,12.4
ABCOTT INSTITUTE,MI,2,3,16.4,15.1,0
CAREER COLLEGE CONSULTANTS,CA,5,3,16.4,18.9,39
ARLINGTON BAPTIST COLLEGE,TX,8,2,16.4,18.4,11.8
RANDALL UNIVERSITY,OK,8,2,16.4,17.1,15.1
PAUL MITCHELL THE SCHOOL RENO,NV,4,3,16.4,23,0
SANTA FE COLLEGE,FL,6,1,16.3,18.8,22.7
OKLAHOMA CITY COMMUNITY COLLEGE,OK,5,1,16.3,20.8,21
SAVANNAH STATE UNIVERSITY,GA,8,1,16.3,15.7,20.6
BETHUNE COOKMAN UNIVERSITY,FL,8,2,16.3,14.8,16.8
NORTHERN OKLAHOMA COLLEGE,OK,5,1,16.3,18.9,24.1
BRIARCLIFFE COLLEGE,NY,6,3,16.3,16.7,15.1
FORTIS INSTITUTE,NJ,3,3,16.3,11.5,8.8
AVEDA INSTITUTE - SOUTH FLORIDA,FL,3,3,16.3,16.4,18.2
PINE TECHNICAL AND COMMUNITY COLLEGE,MN,5,1,16.3,15.8,25.8
PAUL MITCHELL THE SCHOOL GASTONIA,NC,3,3,16.3,14.5,31.5
BENE'S INTERNATIONAL SCHOOL OF BEAUTY,FL,3,3,16.3,15.1,12.1
VEEB NASSAU COUNTY SCHOOL OF PRACTICAL NURSING,NY,3,1,16.3,6.1,11.2
BEAUTY SCHOOL (THE),PA,3,3,16.3,1.9,14.7
"MR. JOHN'S SCHOOL OF COSMETOLOGY, ESTHETICS & NAILS",IL,4,3,16.3,5.7,18.1
FRANCOIS D. COLLEGE OF HAIR SKIN & NAILS,UT,4,3,16.3,15.6,13.4
STYLES & PROFILES BEAUTY COLLEGE,TN,3,3,16.3,7.8,9
ST. PETERSBURG COLLEGE,FL,6,1,16.2,19.5,21.9
COMMUNITY COLLEGE OF PHILADELPHIA,PA,5,1,16.2,17.5,17.4
COMMUNITY COLLEGE OF ALLEGHENY COUNTY,PA,5,1,16.2,15,15.3
SULLIVAN UNIVERSITY,KY,8,3,16.2,19.8,24.3
MONTGOMERY COUNTY COMMUNITY COLLEGE,PA,5,1,16.2,12.7,15
CHANDLER - GILBERT COMMUNITY COLLEGE,AZ,5,1,16.2,16.7,21.1
BERKS TECHNICAL INSTITUTE,PA,5,3,16.2,19.5,22.9
BRIGHTWOOD COLLEGE,TX,5,3,16.2,19.5,24.5
HAGERSTOWN COMMUNITY COLLEGE,MD,5,1,16.2,16.3,12.4
SPENCERIAN COLLEGE,KY,6,3,16.2,20.4,24.6
MOREHOUSE COLLEGE,GA,6,2,16.2,18.4,24.7
YORK TECHNICAL COLLEGE,SC,5,1,16.2,20.3,17.7
BETHANY COLLEGE,WV,8,2,16.2,17.1,17.9
PROFESSIONAL HANDS INSTITUTE,FL,5,3,16.2,16.3,19.6
DAKOTA COLLEGE AT BOTTINEAU,ND,5,1,16.2,15.5,13.9
MEDICAL PROFESSIONAL INSTITUTE,MA,3,3,16.2,9,23
TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,3,3,16.2,17.3,8.6
BERKELEY CITY COLLEGE,CA,5,1,16.2,11.2,15.5
DURHAM BEAUTY ACADEMY,NC,3,3,16.2,20.5,33.3
NATIONAL CAREER COLLEGE,CA,5,3,16.2,12.5,12.8
MASSAGE THERAPY TRAINING INSTITUTE,NM,2,3,16.2,17.5,11.1
COLUMBIA COLLEGE,VA,5,3,16.2,5,0
CONCORDE CAREER COLLEGE,CO,5,3,16.1,13.6,12.9
COYNE COLLEGE,IL,5,3,16.1,14.6,22.9
WHATCOM COMMUNITY COLLEGE,WA,6,1,16.1,14,14.3
SPECS HOWARD SCHOOL OF MEDIA ARTS,MI,3,3,16.1,17.2,19.2
NORTH CAROLINA WESLEYAN COLLEGE,NC,6,2,16.1,14.4,20.2
SOUTH PUGET SOUND COMMUNITY COLLEGE,WA,5,1,16.1,17.7,20.9
BROOME DELAWARE TIOGA BOCES PROGRAM OF PRACTICAL NURSING,NY,3,1,16.1,14.7,17.6
FLORIDA STATE COLLEGE AT JACKSONVILLE,FL,6,1,16,15.6,17.7
MIDLANDS TECHNICAL COLLEGE,SC,5,1,16,16.2,14.4
FORTIS COLLEGE,OH,6,3,16,10.9,15.1
PELLISSIPPI STATE COMMUNITY COLLEGE,TN,5,1,16,18.4,19.6
FORTIS COLLEGE,LA,5,3,16,11.1,13.7
HEARTLAND COMMUNITY COLLEGE,IL,5,1,16,22,22.3
STILLMAN COLLEGE,AL,6,2,16,18.7,22
ETI SCHOOL OF SKILLED TRADES,IL,3,3,16,9.1,8.2
AMERICAN COLLEGE OF HEALTHCARE,CA,4,3,16,16.9,17.9
TAYLOR ANDREWS ACADEMY OF HAIR DESIGN,UT,4,3,16,23.3,0
TACOMA COMMUNITY COLLEGE,WA,6,1,15.9,16.6,13.3
CONCORDE CAREER COLLEGE,TN,5,3,15.9,14.2,16
FORTIS INSTITUTE,TN,5,3,15.9,9.2,12.4
SAINT JOHNS RIVER STATE COLLEGE,FL,6,1,15.9,14.4,12.8
VERNON COLLEGE,TX,5,1,15.9,16.1,16.4
WALTERS STATE COMMUNITY COLLEGE,TN,5,1,15.9,16.7,19.7
CLOUD COUNTY COMMUNITY COLLEGE,KS,5,1,15.9,17.9,22.8
CUMBERLAND COUNTY COLLEGE,NJ,5,1,15.9,11.7,14.2
NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,5,1,15.9,23.2,22.6
METRO TECHNOLOGY CENTERS SCHOOL DISTRICT #22,OK,4,1,15.9,19.6,17.8
PALOMAR COLLEGE,CA,5,1,15.9,31.6,31.3
WEST TENNESSEE BUSINESS COLLEGE,TN,5,3,15.9,15.5,29.5
CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,5,1,15.9,11,14.9
NEW PROFESSIONS TECHNICAL INSTITUTE,FL,3,3,15.9,12.6,13.8
VOGUE COLLEGE - MCALLEN,TX,3,3,15.9,0,0
SOUTH UNIVERSITY,GA,8,3,15.8,17,23.1
HARRISON COLLEGE,IN,6,3,15.8,17.1,23.1
HAWKEYE COMMUNITY COLLEGE,IA,5,1,15.8,18,20.3
NIAGARA COUNTY COMMUNITY COLLEGE,NY,5,1,15.8,14.1,15.7
COLLEGEAMERICA DENVER,CO,6,3,15.8,22,25.4
JOHN TYLER COMMUNITY COLLEGE,VA,5,1,15.8,13.9,17.1
EVERETT COMMUNITY COLLEGE,WA,5,1,15.8,14.3,11.4
MILAN INSTITUTE,CA,3,3,15.8,13.6,22.1
REDLANDS COMMUNITY COLLEGE,OK,5,1,15.8,23.6,25.1
PAUL MITCHELL THE SCHOOL MEMPHIS,TN,3,3,15.8,6.6,9.6
TRICOCI UNIVERSITY OF BEAUTY CULTURE,IL,3,3,15.8,24.6,9.7
ANTONELLI MEDICAL & PROFESSIONAL INSTITUTE,PA,3,3,15.8,12.2,18.3
WAKE TECHNICAL COMMUNITY COLLEGE,NC,5,1,15.7,13.7,14
COLLEGE OF DU PAGE,IL,5,1,15.7,13.2,13.4
MILLER-MOTTE TECHNICAL COLLEGE,VA,5,3,15.7,19.9,23.6
NORTHEAST WISCONSIN TECHNICAL COLLEGE,WI,5,1,15.7,16.9,18.4
NORTHEAST IOWA COMMUNITY COLLEGE,IA,5,1,15.7,18.3,22.9
BARTON COUNTY COMMUNITY COLLEGE,KS,5,1,15.7,16.7,23.1
SAN DIEGO MESA COLLEGE,CA,6,1,15.7,18.1,19
COASTLINE COMMUNITY COLLEGE,CA,5,1,15.7,10.6,16.4
TOUGALOO COLLEGE,MS,8,2,15.7,13.6,18.4
NORTH CENTRAL KANSAS TECHNICAL COLLEGE,KS,4,1,15.7,13.6,12.9
CECIL COLLEGE,MD,5,1,15.7,14.4,18.1
SAN DIEGO CHRISTIAN COLLEGE,CA,8,2,15.7,8.4,8.4
CHATFIELD COLLEGE,OH,5,2,15.7,16.2,21
SANTA FE UNIVERSITY OF ART AND DESIGN,NM,6,3,15.7,8.5,11.4
LU ROSS ACADEMY,CA,3,3,15.7,15.8,21.8
MID-ATLANTIC CHRISTIAN UNIVERSITY,NC,6,2,15.7,9.5,19.1
MASSACHUSETTS SCHOOL OF BARBERING,MA,3,3,15.7,14.7,6
BERGEN COUNTY TECHNICAL SCHOOLS,NJ,3,1,15.7,10.5,25
LEXINGTON THEOLOGICAL SEMINARY,KY,8,2,15.7,17,17.3
LIA SCHORR INSTITUTE OF COSMETIC SKIN CARE TRAINING,NY,2,3,15.7,6.9,10.9
HARRISBURG AREA COMMUNITY COLLEGE,PA,5,1,15.6,16.1,19.4
KIRKWOOD COMMUNITY COLLEGE,IA,5,1,15.6,18.5,24.6
MONROE COMMUNITY COLLEGE,NY,5,1,15.6,17,21.4
BLINN COLLEGE,TX,5,1,15.6,19.9,19.5
TEXAS SOUTHMOST COLLEGE,TX,5,1,15.6,15.1,14.4
ALL-STATE CAREER,MD,11,3,15.6,18.5,19.6
BUTLER COUNTY COMMUNITY COLLEGE,KS,5,1,15.6,12.9,12.8
DRURY UNIVERSITY,MO,8,2,15.6,15.2,17.1
UNIVERSITY OF THE DISTRICT OF COLUMBIA,DC,8,1,15.6,14.6,18.6
WALLA WALLA COMMUNITY COLLEGE,WA,5,1,15.6,20.3,18.6
HARCUM COLLEGE,PA,5,2,15.6,12.7,12.4
GREENFIELD COMMUNITY COLLEGE,MA,5,1,15.6,15.4,22
WARNER UNIVERSITY,FL,8,2,15.6,15.9,11.9
COLORADO NORTHWESTERN COMMUNITY COLLEGE,CO,5,1,15.6,20.3,32
INTERNATIONAL SALON AND SPA ACADEMY,CO,4,3,15.6,17.2,17
WESTERN TEXAS COLLEGE,TX,5,1,15.6,18.4,19.6
BRAMSON ORT COLLEGE,NY,5,2,15.6,14.6,13.3
COLLEEN O'HARA'S BEAUTY ACADEMY,CA,3,3,15.6,21.3,12.3
DALLAS INSTITUTE OF FUNERAL SERVICE,TX,5,2,15.6,12.1,18.2
LAKE TAHOE COMMUNITY COLLEGE,CA,5,1,15.6,20.2,25.2
PRECISION MANUFACTURING INSTITUTE,PA,3,2,15.6,17.3,17.4
COLUMBIA COLLEGE,MO,8,2,15.5,13,13.3
SOUTHEAST COMMUNITY COLLEGE,NE,5,1,15.5,14,11.4
COMMUNITY COLLEGE OF BALTIMORE COUNTY,MD,5,1,15.5,15.5,13.4
RED ROCKS COMMUNITY COLLEGE,CO,6,1,15.5,16.1,21.2
SOUTHERN MAINE COMMUNITY COLLEGE,ME,5,1,15.5,15.4,19.8
THOMAS NELSON COMMUNITY COLLEGE,VA,5,1,15.5,12.4,16.9
PIERCE COLLEGE,WA,6,1,15.5,13.2,12.6
PARIS JUNIOR COLLEGE,TX,5,1,15.5,21.1,29.4
PIONEER PACIFIC COLLEGE,OR,6,3,15.5,15.7,17.9
SAINT PHILIP'S COLLEGE,TX,5,1,15.5,15.2,17
GREAT FALLS COLLEGE MONTANA STATE UNIVERSITY,MT,5,1,15.5,17.9,14.5
INSTITUTE OF AUDIO RESEARCH,NY,3,3,15.5,15.3,30.8
PORTER AND CHESTER INSTITUTE OF BRANFORD,CT,3,3,15.5,21.6,22.4
INSTITUTE OF PRODUCTION AND RECORDING (THE),MN,6,3,15.5,15.7,14.9
RIDLEY-LOWELL SCHOOL OF BUSINESS,NY,3,3,15.5,10.5,17
EASTLAND-FAIRFIELD CAREER AND TECHNICAL SCHOOLS,OH,3,1,15.5,16.6,20.1
TETERBORO SCHOOL OF AERONAUTICS,NJ,4,3,15.5,17.9,31.6
ILLINOIS EASTERN COMMUNITY COLLEGES - LINCOLN TRAIL COLLEGE,IL,5,1,15.5,10.6,14.2
INSTITUTE OF ADVANCED MEDICAL ESTHETICS,VA,2,3,15.5,14.6,14.2
FASHION FOCUS HAIR ACADEMY,FL,3,3,15.5,27.7,9.2
ILLINOIS INSTITUTE OF ART (THE),IL,6,3,15.4,14.3,18.9
DARTON STATE COLLEGE,GA,6,1,15.4,14.5,13.6
UNIVERSITY OF NORTHWESTERN OHIO,OH,8,2,15.4,14.2,15.7
VOLUNTEER STATE COMMUNITY COLLEGE,TN,5,1,15.4,15.8,17.4
GEORGIA HIGHLANDS COLLEGE,GA,6,1,15.4,12.6,11.7
IOWA LAKES COMMUNITY COLLEGE,IA,5,1,15.4,18,21.5
WEST VIRGINIA STATE UNIVERSITY,WV,8,1,15.4,16.6,14.2
LINCOLN COLLEGE OF TECHNOLOGY,MD,5,3,15.4,18.8,26
SALEM INTERNATIONAL UNIVERSITY,WV,8,3,15.4,20.9,27.6
NATIONAL TRACTOR TRAILER SCHOOL,NY,2,3,15.4,13,13.5
NORTH CENTRAL MISSOURI COLLEGE,MO,5,1,15.4,18.7,21.8
MONTCALM COMMUNITY COLLEGE,MI,5,1,15.4,13.8,13.5
WEST VALLEY COLLEGE,CA,5,1,15.4,17.9,20.3
JAMESTOWN BUSINESS COLLEGE,NY,6,3,15.4,16.1,14.5
PROFESSIONALS CHOICE HAIR DESIGN ACADEMY,IL,3,3,15.4,20,23.9
PCI COLLEGE,CA,5,3,15.4,18,17.3
PRAIRIE VIEW AGRICULTURAL & MECHANICAL UNIVERSITY,TX,8,1,15.3,19.7,24.5
SAINT LOUIS COMMUNITY COLLEGE,MO,5,1,15.3,14,13.2
GEORGIA GWINNETT COLLEGE,GA,6,1,15.3,15.6,16.4
DUTCHESS COMMUNITY COLLEGE,NY,5,1,15.3,15.8,15.9
ADIRONDACK COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES,NY,5,1,15.3,12.8,14.2
FORTIS INSTITUTE,PA,5,3,15.3,12.9,12.6
CRAVE BEAUTY ACADEMY,KS,3,3,15.3,10.9,8.2
TINT SCHOOL OF MAKEUP & COSMETOLOGY,TX,3,3,15.3,18.3,35.8
SAN DIEGO CULINARY INSTITUTE,CA,3,3,15.3,9.5,17.1
TOLEDO PUBLIC SCHOOLS ADULT AND CONTINUING EDUCATION,OH,3,1,15.3,15.6,17.5
SAN FRANCISCO THEOLOGICAL SEMINARY,CA,8,2,15.3,22.4,20.8
BEACON COLLEGE,FL,6,2,15.3,14.2,8.6
ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,3,3,15.3,2.6,5.1
ROBERTO-VENN SCHOOL OF LUTHIERY,AZ,2,3,15.3,4.8,5.4
MADISON AREA TECHNICAL COLLEGE,WI,5,1,15.2,15,16.1
ALLEGANY COLLEGE OF MARYLAND,MD,5,1,15.2,18.1,18.2
COLLEGE OF THE CANYONS,CA,5,1,15.2,13.5,16.8
BROOKHAVEN COLLEGE,TX,5,1,15.2,13.7,14.2
SAUK VALLEY COMMUNITY COLLEGE,IL,5,1,15.2,14,17.3
AMERICAN ACADEMY MCALLISTER INSTITUTE,NY,5,2,15.2,10.7,12.8
ILLINOIS EASTERN COMMUNITY COLLEGES - OLNEY CENTRAL COLLEGE,IL,5,1,15.2,9.8,16.5
GREENE COUNTY CAREER & TECHNOLOGY CENTER,PA,3,1,15.2,13.3,20.5
NORTH FLORIDA ACADEMY,FL,3,3,15.2,13.8,15
UNIVERSITY OF THE WEST,CA,8,2,15.2,14.6,13.8
WAUKESHA COUNTY TECHNICAL COLLEGE,WI,5,1,15.1,14.1,15.7
LEHIGH CARBON COMMUNITY COLLEGE,PA,5,1,15.1,13.6,15.9
ANOKA TECHNICAL COLLEGE,MN,5,1,15.1,14.5,16.2
SUL ROSS STATE UNIVERSITY,TX,8,1,15.1,13.8,15.4
CONCORDE CAREER INSTITUTE,FL,5,3,15.1,15.5,13.4
PAINE COLLEGE,GA,6,2,15.1,20.4,25.1
SOLANO COMMUNITY COLLEGE,CA,5,1,15.1,28.2,33.7
NEW ENGLAND CULINARY INSTITUTE,VT,6,3,15.1,11.9,17.1
DOUGLAS EDUCATION CENTER,PA,5,3,15.1,15.5,17.6
TENAJ SALON INSTITUTE,FL,3,3,15.1,7.2,9.6
MJ'S BEAUTY ACADEMY,TX,3,3,15.1,16.6,20.4
ENTOURAGE INSTITUTE OF BEAUTY AND ESTHETICS,KS,3,3,15.1,28.5,0
TIDEWATER COMMUNITY COLLEGE,VA,5,1,15,13.2,14.8
ERIE COMMUNITY COLLEGE,NY,5,1,15,16.2,19
COLLIN COUNTY COMMUNITY COLLEGE,TX,5,1,15,15,15
COMMUNITY COLLEGE OF AURORA,CO,5,1,15,11.8,22
ART INSTITUTE OF COLORADO (THE),CO,6,3,15,12.8,18.7
CONCORD UNIVERSITY,WV,8,1,15,17.6,17.3
COLORADO MOUNTAIN COLLEGE,CO,6,1,15,11.1,11
SKAGIT VALLEY COLLEGE,WA,6,1,15,10.3,17.9
WILBERFORCE UNIVERSITY,OH,8,2,15,13.3,18.8
WESTERN OKLAHOMA STATE COLLEGE,OK,5,1,15,21.3,20.8
SAN DIEGO MIRAMAR COLLEGE,CA,5,1,15,16.8,21
UNIVERSITY OF PUERTO RICO - HUMACAO UNIVERSITY COLLEGE,PR,6,1,15,11.1,11.8
CENTRAL STATE BEAUTY AND WELLNESS COLLEGE,OK,3,3,15,12.8,13.5
NEW YORK MEDICAL CAREER TRAINING CENTER,NY,4,3,15,9.4,13.6
BEAU MONDE COLLEGE OF HAIR DESIGN,OR,4,3,15,15.6,9.7
TONI & GUY HAIRDRESSING ACADEMY,CA,3,3,15,41.6,50
STRAND COLLEGE OF HAIR DESIGN,SC,3,3,15,19,29.7
AMERICAN INTERCONTINENTAL UNIVERSITY,IL,8,3,14.9,17.7,20.9
ONONDAGA COMMUNITY COLLEGE,NY,5,1,14.9,14.1,15.3
HENNEPIN TECHNICAL COLLEGE,MN,5,1,14.9,14.8,17.5
ITT TECHNICAL INSTITUTE,WA,6,3,14.9,17.5,23.5
VICTORIA COLLEGE,TX,5,1,14.9,17.3,16.8
DILLARD UNIVERSITY,LA,6,2,14.9,15.7,11.4
BAKER COLLEGE,MI,8,2,14.8,15.7,17.6
VALENCIA COLLEGE,FL,6,1,14.8,17,20.3
CHARTER COLLEGE,WA,8,3,14.8,13.3,16.2
PRINCE GEORGE'S COMMUNITY COLLEGE,MD,5,1,14.8,14.5,13.7
INDIANA INSTITUTE OF TECHNOLOGY,IN,8,2,14.8,12.8,10.6
LAKE SUPERIOR COLLEGE,MN,5,1,14.8,14.8,12.1
MINNESOTA STATE COLLEGE-SOUTHEAST TECHNICAL,MN,5,1,14.8,13.6,18.2
ONONDAGA CORTLAND MADISON BOCES,NY,3,1,14.8,14.1,12.8
STONE ACADEMY,CT,3,3,14.8,17.6,12.5
CENTRAL CHRISTIAN COLLEGE OF THE BIBLE,MO,6,2,14.8,8.5,8.6
REGENCY BEAUTY INSTITUTE,NC,3,3,14.8,16.2,21.7
PAUL MITCHELL THE SCHOOL PORTSMOUTH,NH,3,3,14.8,19.3,15
MANHATTAN INSTITUTE (THE),NY,3,3,14.8,0,0
CANNELLA SCHOOL OF HAIR DESIGN,IL,3,3,14.8,5.1,20.8
VIRGINIA STATE UNIVERSITY,VA,8,1,14.7,15.1,13.7
MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN,FL,8,3,14.7,13,20.3
MINNESOTA WEST COMMUNITY AND TECHNICAL COLLEGE,MN,5,1,14.7,14.7,16
